Id,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,FullBath,GarageCars,SalePrice,SalePrice_Log,Nbhd_Num,ExtQual_Num,BsmtQual_Num,KQual_Num,GrLivArea_Log
1,7,2003,2003,856,2,2,208500,12.247694320220994,2,2,2,3,7.444248649496705
2,6,1976,1976,1262,2,2,181500,12.109010932687042,2,1,2,2,7.140453043101158
3,7,2001,2002,920,2,2,223500,12.31716669303576,2,2,2,3,7.487733761436444
4,7,1915,1970,756,1,3,140000,11.84939770159144,2,1,1,3,7.448333860897476
5,8,2000,2000,1145,2,3,250000,12.429216196844383,3,2,2,3,7.6953031349635665
6,5,1993,1995,796,1,2,143000,11.870599909242044,2,1,2,2,7.216709486709457
7,8,2004,2005,1686,2,2,307000,12.634603026569334,2,2,3,3,7.434847875211999
8,7,1973,1973,1107,2,2,200000,12.206072645530174,2,1,2,2,7.644919344958857
9,7,1931,1950,952,2,2,129900,11.77452020265869,1,1,1,2,7.480992162869525
10,5,1939,1950,991,1,1,118000,11.678439903447801,1,1,1,2,6.981934677156389
11,5,1965,1965,1040,1,1,129500,11.771436160121729,1,1,1,2,6.946975992135418
12,9,2005,2006,1175,3,3,345000,12.751299696013497,3,1,3,4,7.751045117971802
13,5,1962,1962,912,1,1,144000,11.877568578558138,1,1,1,2,6.815639990074331
14,7,2006,2007,1494,2,3,279500,12.540757571577291,2,2,2,3,7.309212365692763
15,6,1960,1960,1253,1,1,157000,11.964001084330445,2,1,1,2,7.133295954896068
16,7,1929,2001,832,1,2,132000,11.790557201568507,1,1,1,2,6.74993119378857
17,6,1970,1970,1004,1,2,149000,11.911701584927597,2,1,1,2,6.911747300251674
18,4,1967,1967,0,2,2,90000,11.407564949312402,1,1,1,2,7.16703787691222
19,5,2004,2004,1114,1,2,159000,11.976659481202368,2,1,1,3,7.01571242048723
20,5,1958,1965,1029,1,1,139000,11.842229212112828,2,1,1,2,7.199678345691172
21,8,2005,2006,1158,3,3,325300,12.692503112461443,3,2,3,3,7.773173680482536
22,7,1930,1950,637,1,1,139400,11.845102777308561,1,1,1,3,7.010311867307229
23,8,2002,2002,1777,2,2,230000,12.345834587905333,2,2,2,3,7.492760300922379
24,5,1976,1976,1040,1,2,129900,11.77452020265869,1,1,2,2,6.966024187106113
25,5,1968,2001,1060,1,1,154000,11.944707881395766,1,1,1,3,6.966024187106113
26,8,2007,2007,1566,2,3,256300,12.454103912352162,3,2,2,3,7.3777589082278725
27,5,1951,2000,900,1,2,134800,11.811547477460344,2,1,1,3,6.802394763324311
28,8,2007,2008,1704,2,3,306000,12.631340380934517,3,2,3,3,7.440733707389261
29,5,1957,1997,1484,1,1,207500,12.24288661865289,2,1,1,2,7.3777589082278725
30,4,1927,1950,520,1,1,68500,11.134589024250317,1,1,1,1,6.253828811575473
31,4,1920,1950,649,1,1,40000,10.596634733096073,1,1,1,2,7.183111701743281
32,5,1966,2006,1228,1,1,149350,11.914047823644255,1,1,1,3,7.113142108707088
33,8,2007,2007,1234,2,2,179900,12.100156419938624,2,2,3,3,7.1180162044653335
34,5,1959,1959,1398,1,2,165500,12.016726473799254,2,1,1,3,7.438383530044307
35,9,2005,2005,1561,2,2,277500,12.533576212168626,3,1,3,4,7.353081920515432
36,8,2004,2005,1117,3,3,309000,12.641096555879882,3,2,3,3,7.804659297056102
37,5,1994,1995,1097,1,2,145000,11.884489021402711,2,1,2,2,7.00033446027523
38,5,1954,1990,1297,1,2,153000,11.938193200374572,2,1,1,2,7.167809184316444
39,5,1953,2007,1057,1,1,109000,11.59910316121128,2,1,1,3,6.963189985870238
